Date,Open,High,Low,Close
6/24/15,45453.33984,45514.01172,45280.28125,45424.94141
6/25/15,45420.07031,45532.80859,45232.46094,45377.12109
6/26/15,45381.37891,45630.19141,45332.44141,45566.32813
6/29/15,45556.87109,45556.87109,44710.35156,44710.35156
6/30/15,44711.42969,45054.07813,44585.58984,45053.69922
7/1/15,45052.89063,45298.55078,44928.48828,44928.51953
7/2/15,44928.51953,45342,44917.82031,45175.57813
7/3/15,45174.39063,45174.39063,44982.32031,45065.46875
7/6/15,45062.17969,45062.17969,44635.82031,44794.01172
7/7/15,44792.85156,45027.60938,44196.33984,45017.75
7/8/15,45004.76953,45009.53125,44441.37109,44497.73828
7/9/15,44499.73828,44922.60938,44499.73828,44564.32031
7/10/15,44558.10156,44980.28906,44558.10156,44915.98047
7/13/15,44933.85938,45184.80078,44916.48047,44990.39063
7/14/15,44990.46094,45194.69141,44747.32031,45136.69141
7/15/15,45136.16016,45179.51953,45018.78906,45107.12891
7/16/15,45111.73047,45461.94141,45111.73047,45344.89844
7/17/15,45347.80859,45387.69141,45087.48828,45325.37891
7/20/15,45325.57813,45655.73047,45228.19141,45567.98828
7/21/15,45568.62109,45664.76953,45387.80859,45401.23047
7/22/15,45394.19922,45447.07813,44660.35938,44670.42188
7/23/15,44671.28906,44894.73828,44599.53125,44836.32813
7/24/15,44840.25,44898.12891,44209.53125,44249.48828
7/27/15,44243,44246.89844,43713.71875,43713.71875
7/28/15,43715.62109,44241.51953,43715.62109,44222.96875
7/29/15,44215.39844,44566.87891,44058.89063,44471.28906
7/30/15,44470.66016,44470.66016,44177.87109,44373.30859
7/31/15,44374.46094,44793.17969,44322.78906,44752.92969
8/3/15,44737.51172,44913.62891,44436.12109,44903.94922
8/4/15,44901.21875,45206.87891,44869.10156,45177.98047
8/5/15,45180.35938,45388.64063,44863.92188,44937.60938
8/6/15,44938.5,45062.33984,44824.46875,44921.21875
8/7/15,44919.12109,44919.12109,44661.21094,44862.14063
8/10/15,44856.19141,45320.75,44785.08984,45320.69141
8/11/15,45321.57813,45333.35156,44376.53125,44379.78906
8/12/15,44379.03125,44402.57813,43640.05859,44032.37891
8/13/15,44083.48047,44287.12109,43785.42969,43870.53125
8/14/15,43870.39844,44069.85938,43746.30859,43746.71875
8/17/15,43762.89844,43990.05078,43574.12109,43953.48047
8/18/15,43958.07813,43960.87891,43730.55859,43872.12109
8/19/15,43868.60156,43906.55859,43307.53125,43473.73828
8/20/15,43470.48828,43470.48828,42995.26953,43036.58984
8/21/15,43033.01172,43033.01172,42098.73047,42163.82031
8/24/15,42139.17969,42139.17969,39256.57813,41471.46875
8/25/15,41484.5,42393.78906,41484.5,42010.89063
8/26/15,42012.14844,42427.48828,41669.21094,42323.03906
8/27/15,42324.32031,43480.83984,42324.32031,43452.35938
8/28/15,43459.39844,43534.82813,43161.37109,43290.85938
8/31/15,43288.42188,43722.23047,42775.28125,43721.96094
9/1/15,43707.01953,43707.01953,42839.14063,42911.51172
9/2/15,42908.23828,43194.96875,42772.05859,42969.92969
9/3/15,42971.12109,43663.80078,42971.12109,43283.46875
9/4/15,43283.32031,43283.32031,42555.85938,42742.85938
9/7/15,42729.26953,42853.89844,42326.10156,42756.26172
9/8/15,42755.17188,43180.17188,42755.17188,43083.94141
9/9/15,43085.71875,43523.53125,42754.05078,42754.67969
9/10/15,42749.78906,42926.53906,42621.44141,42888.51172
9/11/15,42888.51172,42991.80078,42761.75,42780.73047
9/14/15,42775.60938,42909.03906,42661.82813,42827.35156
9/15/15,42829.67188,43273.07031,42813.08984,43269.62109
9/17/15,43279.14063,44075.51953,43263.42188,43790.92969
9/18/15,43788.53906,43788.53906,43177.08984,43565.05078
9/21/15,43568.46875,43722.07813,43458.58984,43618.14063
9/22/15,43621.21875,43621.21875,43047.87109,43232.05859
9/23/15,43236.41016,43285.39844,43042.35938,43042.35938
9/24/15,43042.30859,43085.03125,42459.76172,42596.55859
9/25/15,42595.19922,42912.21875,42326.42188,42435.23047
9/28/15,42430.60938,42453.12891,41791.60156,41893.51172
9/29/15,41894.10938,42254,41861.78906,42121.51172
9/30/15,42113.85156,42703.07031,42113.85156,42632.53906
10/1/15,42627.42188,42752.01172,42418.53906,42695.73828
10/2/15,42695.14063,42769.23047,42203.82031,42735.14844
10/5/15,42740.85938,43614.17188,42740.85938,43566.32031
10/6/15,43566.39063,43743.83984,43435.03906,43561.42188
10/7/15,43562.91016,44166.39844,43562.91016,43832.03125
10/8/15,43838.55078,44172.32813,43654.76172,44076.94141
10/9/15,44080.14844,44477.5,44080.14844,44375.62109
10/12/15,44370.71875,44619.60938,44142.17188,44314.25
10/13/15,44318.48047,44442.53906,44125.14063,44318.19141
10/14/15,44313.62891,44416.14063,44058.87109,44064.42969
10/15/15,44065.05859,44255.37891,43811.48828,44087.58984
10/16/15,44090.46094,44432.37109,44062.55859,44364.16016
10/19/15,44371.76953,44523.69922,44116.07813,44523.01172
10/20/15,44517.30859,44653.85938,44191.57031,44653.85938
10/21/15,44657.12109,44938.12109,44309.76172,44426.07031
10/22/15,44426.30859,44989.25,44321.28906,44627.96875
10/23/15,44628.42188,45094.10156,44628.42188,45010.23828
10/26/15,45022.46094,45102.57813,44787.08984,45036.51953
10/27/15,45036.30078,45036.89063,44570.87891,44698.01172
10/28/15,44683.60156,44933.14063,44585.5,44741.67969
10/29/15,44738.26172,44860.42969,44477.92188,44634.80859
10/30/15,44635.80078,44648.83984,44238.69141,44542.76172
11/3/15,44543.83984,45540.92969,44336.73828,45354.58984
11/4/15,45356.17969,45680.10938,45322.87891,45373.17188
11/5/15,45373.89063,45546.55078,45190.26172,45195.64844
11/6/15,45195.71875,45388.21094,44923.46094,45243.85156
11/9/15,45238.14063,45302.53906,44187.55859,44479.23047
11/10/15,44474.33984,44474.78906,43772.75,44359.89063
11/11/15,44353.62891,44646.57813,44219.87109,44347.91016
